Parameter,Nominal,Pathfinder median,Pathfinder 5%,Pathfinder 95%
"$k_{\mathrm{Off,AMP}}$",0.0025,0.024692327290635495,0.015264798020989614,0.02643737501975943
"$k_{\mathrm{Off,ADP}}$",0.0015,0.06435248933689777,0.061232802020585425,0.330056027617769
"$k_{\mathrm{Off,ATP}}$",0.018,0.01320231647201607,0.01098276612695586,0.014151444100340851
"$k_{\mathrm{Off,CaMKK}}$",0.0132,0.6817354299704356,0.1082440355541436,0.7207729459790042
"$k_{\mathrm{Phos,CaMKK}}$",0.00081,0.004257724629465968,0.00015387220781904425,0.004560224464965497
"$k_{\mathrm{Off,LKB1}}$",1.396,0.363700862402031,0.3447100530814105,28.73073603325707
$\alpha_{\mathrm{LKB1}}$,1.0,0.047795366272212786,0.005628409106684798,0.050365473719914004
"$k_{\mathrm{Phos,LKB1}}$",0.00392,0.05984637378430638,0.002297538489039553,0.06423659031679096
"$k_{\mathrm{Off,PP}}$",0.56,0.15956732301993376,0.14028712269377308,0.3113713640368423
$\alpha_{\mathrm{PP}}$,1.0,21.67086997528773,16.187183920424122,34.72706239710933
"$k_{\mathrm{Dephos,PP}}$",0.00011,0.000716299249154196,2.3893699725193446e-06,0.0007673217248065374
"$k_{\mathrm{Off,AMPK}}$",0.00849,43.13923208599478,9.287612116893436,47.08380816271414
"$k_{\mathrm{Phos,AMPK}}$",0.000192,0.014604576707584662,0.011231416979428165,0.07858609805490796
$\beta_{\mathrm{AMP}}$,1.0,42.63422727220345,10.276421348004606,63.532223934815676
"$k_{\mathrm{Off,PP1}}$",0.56,0.996638010697172,0.955297708974873,1.0410577506909646
"$k_{\mathrm{Dephos,PP1}}$",0.00011,3.06017355021644e-07,2.93026304541279e-07,3.2420047559455787e-07
