,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
kOffAMP,0.0,0.0,831.0,937.0,
kOffADP,0.001,0.0,64.0,875.0,
kOffATP,0.0,0.0,41.0,745.0,
kOffCaMKK,0.054,0.001,28.0,785.0,
kPhosCaMKK,0.002,0.0,27.0,786.0,
betaCaMKK,0.026,0.001,55.0,942.0,
kOffLKB1,0.057,0.001,38.0,978.0,
betaLKB1,0.282,0.025,33.0,1072.0,
kPhosLKB1,0.0,0.0,22.0,671.0,
kOffPP,0.011,0.0,35.0,1019.0,
betaPP,0.013,0.0,20.0,898.0,
kDephosPP,0.93,0.389,129.0,945.0,
kOffAMPK,0.366,0.066,71.0,765.0,
kPhosAMPK,0.006,0.001,52.0,665.0,
betaAMP,0.209,0.203,995.0,672.0,
kOffPP1,0.011,0.013,590.0,642.0,
kDephosPP1,0.0,0.0,52.0,817.0,
