Parameter,Nominal,Pathfinder median,Pathfinder 5%,Pathfinder 95%
"$k_{\mathrm{Off,AMP}}$",0.0025,0.030446811102278766,0.02953845885067243,0.03217436387928474
"$k_{\mathrm{Off,ADP}}$",0.0015,0.052897282366334016,0.048389391829916216,0.06222529619699703
"$k_{\mathrm{Off,ATP}}$",0.018,0.0017641235828454395,0.0013991609295044588,0.0036904137881104905
"$k_{\mathrm{Off,CaMKK}}$",0.0132,0.9689153573342386,0.5874050062920879,1.0422916728179967
"$k_{\mathrm{Phos,CaMKK}}$",0.00081,0.013097203928677737,0.011412608661024632,0.025952205037357606
$\beta_{\mathrm{CaMKK}}$,1.0,0.2601735444676243,0.10537544260599771,0.38703368791091963
"$k_{\mathrm{Off,LKB1}}$",1.396,0.4120516325580088,0.2931824566776881,0.8577147840241756
$\beta_{\mathrm{LKB1}}$,1.0,16.274349731416372,13.067055765111526,17.434016821713005
"$k_{\mathrm{Phos,LKB1}}$",0.00392,0.0009107198759325723,0.0008303132038423513,0.001190855591517215
"$k_{\mathrm{Off,PP}}$",0.56,0.1054922758644771,0.04813425856138223,0.15856309871762536
$\beta_{\mathrm{PP}}$,1.0,0.20350497933651865,0.16906913979230923,0.28856641413287704
"$k_{\mathrm{Dephos,PP}}$",0.00011,29.907903372690363,16.234458205997104,52.70612772203938
"$k_{\mathrm{Off,AMPK}}$",0.00849,6.4383002712335955,5.469998523604089,12.254146029287051
"$k_{\mathrm{Phos,AMPK}}$",0.000192,0.09415575994608637,0.06004214312747339,0.1999582254111645
$\beta_{\mathrm{AMP}}$,1.0,17.52849326257411,9.04014967359568,30.649096711943038
"$k_{\mathrm{Off,PP1}}$",0.56,1.0039093254979328,0.7926856524828049,1.355947585445325
"$k_{\mathrm{Dephos,PP1}}$",0.00011,2.9887595026358337e-06,2.543632840975934e-06,4.605261722896029e-06
