Parameter,Nominal,Pathfinder median,Pathfinder 5%,Pathfinder 95%
"$k_{\mathrm{Off,AMP}}$",0.0025,0.017415756887846873,0.016094981433472592,0.0612195236267432
"$k_{\mathrm{Off,ADP}}$",0.0015,0.008907300336095504,0.008223191907042874,0.025889292339250768
"$k_{\mathrm{Off,ATP}}$",0.018,0.0173062973660605,0.005486120918725164,0.02206788134445707
$k_{\mathrm{CaMKK}}$,0.00081,0.013013289177283595,0.012066904630106318,0.026726860414339467
"$K_{m,\mathrm{CaMKK}}$",0.015,2.452540079075215,1.4474597001200251,2.7523345555396883
$k_{\mathrm{LKB1}}$,0.00392,0.13669575564582387,0.1192934140978904,0.14566449056690353
"$K_{m,\mathrm{LKB1}}$",1.4,54.1598020805851,50.48576497735984,62.929667672413984
$\alpha_{\mathrm{LKB1}}$,1.0,0.32655423768843417,0.04908949960043175,0.4033970304195861
$k_{\mathrm{PP}}$,0.00011,0.23531522697664353,0.2199339830964073,0.29817376492893133
"$K_{m,\mathrm{PP}}$",0.67,1.2468175614509698,1.035900013200782,1.4518968817017195
$\alpha_{\mathrm{PP}}$,1.0,4.973961344582479,1.5258640698189518,5.9383694220352075
$\beta_{\mathrm{AMP}}$,1.0,20.348673615461564,12.641043492456811,46.680698091511594
