Parameter,Nominal,Pathfinder median,Pathfinder 5%,Pathfinder 95%
"$k_{\mathrm{Off,AMP}}$",0.0025,0.022010481034590464,0.017787621390252528,0.023931765185606774
"$k_{\mathrm{Off,ADP}}$",0.0015,0.010552659152324787,0.009344693275805218,0.012001940137480547
"$k_{\mathrm{Off,ATP}}$",0.018,0.016413661712788918,0.014390481717149543,0.018665416748905837
$k_{\mathrm{CaMKK}}$,0.00081,0.013359483440387985,0.012255821195370947,0.014378651587086512
"$K_{m,\mathrm{CaMKK}}$",0.015,2.822825419381826,2.6132902142285976,3.0197336078037744
$\beta_{\mathrm{CaMKK}}$,1.0,2.988756457282196,2.739883371630385,3.2971825815410534
$k_{\mathrm{LKB1}}$,0.00392,0.10406589503775796,0.09754226244521796,0.11258660801548244
"$K_{m,\mathrm{LKB1}}$",1.4,71.2235473011485,65.23168113619296,75.60118937656694
$\beta_{\mathrm{LKB1}}$,1.0,15.10380228132053,13.855623971828434,16.77694226796433
$k_{\mathrm{PP}}$,0.00011,0.270601010682775,0.22341790064324712,0.3274272404791197
"$K_{m,\mathrm{PP}}$",0.67,1.2687887639595543,1.0439410936240425,1.5936200903439477
$\beta_{\mathrm{PP}}$,1.0,0.494163509571094,0.32566159600288624,0.7629864119406183
$\beta_{\mathrm{AMP}}$,1.0,16.907519269847217,13.188052869433127,21.51966438241493
