Parameter,Nominal,Pathfinder median,Pathfinder 5%,Pathfinder 95%
"$k_{\mathrm{Off,AMP}}$",0.0025,0.024300004209195182,0.02195192576728376,0.026430930783028456
"$k_{\mathrm{Off,ADP}}$",0.0015,0.024486519971489294,0.022174954943422552,0.03692373456776318
"$k_{\mathrm{Off,ATP}}$",0.018,0.004146205913950677,0.0032484395127827365,0.011366580096711704
"$k_{\mathrm{Off,CaMKK}}$",0.0132,0.5018560359112847,0.37541451837333,0.5620875584762574
"$k_{\mathrm{Phos,CaMKK}}$",0.00081,0.00925224684972207,0.007285580930036007,0.02608419467819217
"$k_{\mathrm{Off,LKB1}}$",1.396,0.36949586329205086,0.3401638732139081,0.3967438183271103
$\alpha_{\mathrm{LKB1}}$,1.0,0.04899410518565098,0.04618515257032642,0.05190494870519097
"$k_{\mathrm{Phos,LKB1}}$",0.00392,0.03895513314598859,0.03467108128532747,0.04415491216300155
"$k_{\mathrm{Off,PP}}$",0.56,0.37487378437663543,0.3288039344648153,0.4824751628305084
$\alpha_{\mathrm{PP}}$,1.0,10.296270931153343,6.587303334540791,11.426711698381654
"$k_{\mathrm{Dephos,PP}}$",0.00011,0.0008736528520607351,0.0007214019286341111,0.000975351418177053
"$k_{\mathrm{Off,AMPK}}$",0.00849,11.073131862185802,9.019590448991456,15.871554067091406
"$k_{\mathrm{Phos,AMPK}}$",0.000192,0.04965822919775537,0.039437339977075575,0.07835847990026053
$\beta_{\mathrm{AMP}}$,1.0,4.112675514362033,2.3466922303690945,6.0348138847276465
"$k_{\mathrm{Off,PP1}}$",0.56,0.9981926661868716,0.9449248731462816,1.0608746920106995
"$k_{\mathrm{Dephos,PP1}}$",0.00011,3.072254797983961e-07,2.879444245181816e-07,3.24583285872709e-07
