Parameter,Nominal,Pathfinder median,Pathfinder 5%,Pathfinder 95%
"$k_{\mathrm{Off,AMP}}$",0.0025,0.017740525075795734,0.015572857950528025,0.02043227818601068
"$k_{\mathrm{Off,ADP}}$",0.0015,0.0317445478603569,0.028744469307770876,0.036184232490697694
"$k_{\mathrm{Off,ATP}}$",0.018,0.010968427261220118,0.00948894106216583,0.013956862131377147
"$k_{\mathrm{Off,CaMKK}}$",0.0132,0.36713875279101355,0.33622859584263687,0.39974712395379386
"$k_{\mathrm{Phos,CaMKK}}$",0.00081,0.03094057593913218,0.028138242450659417,0.03382685894559366
$\beta_{\mathrm{CaMKK}}$,1.0,20.04632396044769,18.318823322180094,22.136360496445352
"$k_{\mathrm{Off,LKB1}}$",1.396,0.3674576679673909,0.3310824884898981,0.4012621615077227
$\beta_{\mathrm{LKB1}}$,1.0,19.890438568537085,18.188470999948812,21.899388451553182
"$k_{\mathrm{Phos,LKB1}}$",0.00392,0.029997845420238776,0.027466432239984153,0.03282896761666836
"$k_{\mathrm{Off,PP}}$",0.56,0.368637385785762,0.33793627530688597,0.39966045271672274
$\beta_{\mathrm{PP}}$,1.0,0.1349371569077763,0.12198927439520954,0.14730796906822924
"$k_{\mathrm{Dephos,PP}}$",0.00011,0.0009044477945898055,0.0008296003376633741,0.0009949490776194412
"$k_{\mathrm{Off,AMPK}}$",0.00849,12.20486680510064,11.394574413962074,13.19310907937166
"$k_{\mathrm{Phos,AMPK}}$",0.000192,0.0509611307290236,0.04694538813800609,0.05471002664407931
$\beta_{\mathrm{AMP}}$,1.0,4.439300205314697,3.8349720948043764,5.281846587550643
"$k_{\mathrm{Off,PP1}}$",0.56,1.0007869413494783,0.903752387635791,1.0878362706728777
"$k_{\mathrm{Dephos,PP1}}$",0.00011,2.2669879587313056e-06,2.0750374927865007e-06,2.4789185158145455e-06
