Parameter,Nominal,Pathfinder median,Pathfinder 5%,Pathfinder 95%
"$k_{\mathrm{Off,AMP}}$",0.0025,0.011413663442779796,0.010888309612437454,0.018287848478736463
"$k_{\mathrm{Off,ADP}}$",0.0015,0.00010772168312289613,9.524949676691414e-05,0.0021355598021316675
"$k_{\mathrm{Off,ATP}}$",0.018,0.007643172948417376,0.006910965101670725,0.011496441336018752
$k_{\mathrm{CaMKK}}$,0.00081,0.06094851623480609,0.03559556573315968,0.0644136622779822
"$K_{m,\mathrm{CaMKK}}$",0.015,0.6800841309637411,0.6378347179842757,1.2665242450259877
$k_{\mathrm{LKB1}}$,0.00392,0.11681753115205745,0.11170064414324422,0.12636265005472205
"$K_{m,\mathrm{LKB1}}$",1.4,64.21409628305693,55.64237541226916,69.10805143255403
$\alpha_{\mathrm{LKB1}}$,1.0,0.09918440512890511,0.08631286720149495,0.15028715493493733
$k_{\mathrm{PP}}$,0.00011,0.21761685154830854,0.11587512502731007,0.23362328752724468
"$K_{m,\mathrm{PP}}$",0.67,1.2400073339838629,1.087304009098855,3.2301295700695425
$\alpha_{\mathrm{PP}}$,1.0,0.5252467598046864,0.34764275323754346,0.7561903560142922
$\beta_{\mathrm{AMP}}$,1.0,40.75944481595179,9.548119332615647,66.45386541097338
