Parameter,Nominal,Pathfinder median,Pathfinder 5%,Pathfinder 95%
"$k_{\mathrm{Off,AMP}}$",0.0025,0.014038541187917204,0.010087193314932517,0.014957441309377718
"$k_{\mathrm{Off,ADP}}$",0.0015,0.01343331585607346,4.235141617087479e-05,0.01549397959941017
"$k_{\mathrm{Off,ATP}}$",0.018,0.032106347727207246,0.005987755447694002,0.04340663319422255
$k_{\mathrm{CaMKK}}$,0.00081,0.023895818832910466,0.021882284416885386,0.03821945478079569
"$K_{m,\mathrm{CaMKK}}$",0.015,1.9050960280336349,0.8176510867332176,2.352747596036095
$\beta_{\mathrm{CaMKK}}$,1.0,3.3086691635439607,3.0771547100539887,3.665953744689842
$k_{\mathrm{LKB1}}$,0.00392,0.09978173746934946,0.09402790655635428,0.1252843330767884
"$K_{m,\mathrm{LKB1}}$",1.4,73.46817689590888,58.10804189176218,78.94694959148575
$\beta_{\mathrm{LKB1}}$,1.0,15.152029113278175,13.355089299532855,19.391206379139398
$k_{\mathrm{PP}}$,0.00011,0.19683381087496485,0.17594531351976841,0.3151930944179102
"$K_{m,\mathrm{PP}}$",0.67,1.603617218706432,0.6286354057042094,2.018049171380738
$\beta_{\mathrm{PP}}$,1.0,0.6236534794274657,0.4600888248142518,1.255455665610149
$\beta_{\mathrm{AMP}}$,1.0,3.739844383518683,2.5406415756460383,69.61479460818643
